date,chlor_a
2012-01-02,NA
2012-02-01,NA
2012-03-01,10.804917335510254
2012-04-01,NA
2012-05-01,NA
2012-06-01,NA
2012-07-01,2.689401149749756
2012-08-01,NA
2012-09-01,NA
2012-10-01,7.993100166320801
2012-11-01,NA
2012-12-01,NA
2013-01-01,47.64897918701172
2013-02-01,NA
2013-03-01,6.636822700500488
2013-04-01,4.773569107055664
2013-05-01,NA
2013-06-01,NA
2013-07-01,NA
2013-08-01,NA
2013-09-01,NA
2013-10-01,NA
2013-11-01,NA
2013-12-01,NA
2014-01-01,NA
2014-02-01,NA
2014-03-01,NA
2014-04-01,NA
2014-05-01,NA
2014-06-01,NA
2014-07-01,NA
2014-08-01,4.350318908691406
2014-09-01,NA
2014-10-01,NA
2014-11-01,NA
2014-12-01,NA
2015-01-01,NA
2015-02-01,NA
2015-03-01,NA
2015-04-01,NA
2015-05-01,NA
2015-06-01,NA
2015-07-01,3.747281074523926
2015-08-01,14.023897171020508
2015-09-01,NA
2015-10-01,NA
2015-11-01,NA
2015-12-01,NA
2016-01-01,NA
2016-02-01,NA
2016-03-01,NA
2016-04-01,6.767364978790283
2016-05-01,NA
2016-06-01,NA
2016-07-01,NA
2016-08-01,NA
2016-09-01,2.9882583618164062
2016-10-01,NA
2016-11-01,NA
2016-12-01,NA
2017-01-01,NA
2017-02-01,NA
2017-03-01,NA
2017-04-01,NA
2017-05-01,NA
2017-06-01,NA
2017-07-02,5.60291051864624
2017-08-01,8.895574569702148
2017-09-01,NA
2017-10-01,NA
2017-11-01,NA
2017-12-01,NA
2018-01-01,NA
2018-02-01,5.472250461578369
2018-03-01,NA
2018-04-01,4.022064208984375
2018-05-01,NA
2018-06-01,4.977999687194824
2018-07-01,NA
2018-08-01,NA
2018-09-01,4.034617900848389
2018-10-01,NA
2018-11-01,NA
2018-12-01,4.915759086608887
2019-01-01,NA
2019-02-01,NA
2019-03-01,NA
2019-04-01,NA
2019-05-01,17.115829467773438
2019-06-01,NA
2019-07-01,12.348453521728516
2019-08-01,NA
2019-09-01,NA
2019-10-01,NA
2019-10-02,0.7260000109672546
2019-10-03,7.83050012588501
2019-10-04,3.0220000743865967
2019-10-05,3.0220000743865967
2019-10-06,3.0220000743865967
2019-10-07,3.6760001182556152
2019-10-08,3.6760001182556152
2019-10-09,3.6760001182556152
2019-10-10,3.6760001182556152
2019-10-11,3.6760001182556152
2019-10-12,3.3569998741149902
2019-10-13,1.625
2019-10-14,1.625
2019-10-15,1.625
2019-10-16,1.625
2019-10-17,10.14900016784668
2019-10-18,5.006999969482422
2019-10-19,5.006999969482422
2019-10-20,5.006999969482422
2019-10-21,5.006999969482422
2019-10-22,5.006999969482422
2019-10-23,2.635999917984009
2019-10-24,2.678999900817871
2019-10-25,2.678999900817871
2019-10-26,2.678999900817871
2019-10-27,2.678999900817871
2019-10-28,2.678999900817871
2019-10-29,2.678999900817871
2019-10-30,5.811999797821045
2019-10-31,5.811999797821045
2019-11-01,5.811999797821045
2019-11-02,6.0960001945495605
2019-11-03,3.068000078201294
2019-11-04,3.068000078201294
2019-11-05,3.068000078201294
2019-11-06,3.068000078201294
2019-11-07,3.068000078201294
2019-11-08,1.5880000591278076
2019-11-09,1.5880000591278076
2019-11-10,1.5880000591278076
2019-11-11,1.5880000591278076
2019-11-12,1.5880000591278076
2019-11-13,1.5880000591278076
2019-11-14,1.5880000591278076
2019-11-15,NA
2019-11-16,8.62600040435791
2019-11-17,8.62600040435791
2019-11-18,4.809999942779541
2019-11-19,4.809999942779541
2019-11-20,4.809999942779541
2019-11-21,4.809999942779541
2019-11-22,4.809999942779541
2019-11-23,4.809999942779541
2019-11-24,4.809999942779541
2019-11-25,NA
2019-11-26,NA
2019-11-27,NA
2019-11-28,NA
2019-11-29,NA
2019-11-30,NA
2019-12-01,NA
2019-12-02,NA
2019-12-03,NA
2019-12-04,NA
2019-12-05,NA
2019-12-06,NA
2019-12-07,5.23799991607666
2019-12-08,5.23799991607666
2019-12-09,5.23799991607666
2019-12-10,5.23799991607666
2019-12-11,5.23799991607666
2019-12-12,5.23799991607666
2019-12-13,5.23799991607666
2019-12-14,NA
2019-12-15,10.079999923706056
2019-12-16,10.079999923706056
2019-12-17,10.079999923706056
2019-12-18,10.079999923706056
2019-12-19,10.079999923706056
2019-12-20,10.079999923706056
2019-12-21,10.079999923706056
2019-12-22,NA
2019-12-23,NA
2019-12-24,NA
2019-12-25,NA
2019-12-26,NA
2019-12-27,NA
2019-12-28,18.60099983215332
2019-12-29,20.2549991607666
2019-12-30,20.2549991607666
2020-01-03,20.2549991607666
2020-01-04,4.3379998207092285
2020-01-05,3.97599983215332
2020-01-06,3.97599983215332
2020-01-07,3.97599983215332
2020-01-08,3.97599983215332
2020-01-09,3.97599983215332
2020-01-10,3.97599983215332
2020-01-11,3.6440000534057617
2020-01-12,3.6440000534057617
2020-01-13,3.6440000534057617
2020-01-14,3.6440000534057617
